item_name,store_name,category,OOS_days,Avg_NS_Percentage,Avg_Margin_Percentage,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin
NZLS143419-Jack Links Beef Jerky Sweet n,NZLS.AKL201,confectionary,7,0.06689297931142191,0.0770533719116393,0.23809523809523808,1.0814199514144656,0.6678334160506404,1.6666666666666665,7.569939659901259,4.674833912354483
NZLS144109-DC Russian Fudge 200g,NZLS.AKL202,confectionary,7,0.06933755901472047,0.08708339497701753,0.11764705882352941,0.9346799608488485,0.6120056360448731,0.8235294117647058,6.54275972594194,4.284039452314111
NZLS162602-TNCC Party Mix 240g,NZLS.AKL202,confectionary,7,0.2406468101132301,0.26925961258857567,0.5454545454545454,3.4708023737096685,2.0246347179973068,3.818181818181818,24.29561661596768,14.172443025981147
NZLS108031-SB grainwave sourcrem chiv 40g,NZLS.AKL202,confectionary,7,0.12199899624109044,0.12748764150413988,1.0476190476190477,1.8302292575468657,0.9969612273506951,7.333333333333334,12.811604802828061,6.978728591454866
NZLS185728-Magnum Doub Dipped Class 85ml,NZLS.AKL202,confectionary,7,0.14729244412102876,0.13396660527805976,1.0,3.894679100383982,1.8467727189614185,7.0,27.262753702687874,12.92740903272993
AULS494626-HL ESPRESSO HEMP ENR BALL,AULS.AVV103,confectionary,7,0.044761411367680214,0.007691346274023449,0.4,0.6360000000000001,0.016000000000000104,2.8000000000000003,4.452000000000001,0.11200000000000074
AULS434298-Kit Kat Caramel Chunky 55g,AULS.BNK101,confectionary,7,0.17091976537870934,0.16920172407651482,0.3,0.945,0.5700000000000001,2.1,6.614999999999999,3.99
AULS487109-CAD Twirl Bites Bag 109g,AULS.BNK101,confectionary,7,0.09115720820197834,0.08676359084224293,0.0625,0.3675,0.213125,0.4375,2.5725,1.491875
AULS500131-RRD Popcorn Chilli & CNut 80g,AULS.BNK101,confectionary,7,0.11844235895631199,0.11907730356061494,0.2,0.7639999999999999,0.46799999999999997,1.4000000000000001,5.347999999999999,3.276
AULS501836-Eclipse Mint Peppermint 17g,AULS.BNK101,confectionary,7,0.1258837637074939,0.1302726056047753,0.25,0.8125,0.5125,1.75,5.6875,3.5874999999999995
