item_name,store_name,category,OOS_days,Avg_NS_Percentage,Avg_Margin_Percentage,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin
AULS258921-Glaceau Focus 500ml,AULS.SYD301,beverage,7,0.04871969961488646,0.036196531959915464,0.3,1.3800000000000001,0.663,2.1,9.66,4.641
AULS507153-Nutriboost Vanilla 340ml,AULS.SYD302,beverage,7,0.1434716996861873,0.09534463634649705,0.5909090909090909,2.15,0.9327272727272724,4.136363636363637,15.049999999999999,6.529090909090907
AULS486136-Ice Break Bold 500ml,AULS.SYD302,beverage,7,0.05385117585394389,0.035721881852895744,3.0,14.760000000000002,6.630000000000003,21.0,103.32000000000001,46.41000000000002
AULS501818-Utonic Repair 350ml,AULS.SYD305,beverage,7,0.07273073495068856,0.044630223344736,1.2,6.6,3.911999999999999,8.4,46.199999999999996,27.383999999999993
AULS403434-Coke Zero Glass Bot 330ml,AULS.SYD305,beverage,7,0.008878816993980162,0.006375746192105144,0.05263157894736842,0.2473684210526316,0.17157894736842105,0.3684210526315789,1.731578947368421,1.2010526315789474
AULS180011-V Energy Green Bot 350ml,AULS.SYD307,beverage,7,2.4680570596096576,1.5953957217472305,4.266666666666667,18.14666666666667,7.096000000000001,29.866666666666667,127.02666666666667,49.672000000000004
AULS495614-Keri Apple Juice 500ml,AULS.SYD307,beverage,7,0.07256428395449999,0.0644066668884527,0.1,0.434,0.21800000000000003,0.7000000000000001,3.038,1.5260000000000002
AULS507152-Nutriboost Chocolate 340ml,AULS.SYD310,beverage,7,0.17643841773745716,0.11811753224833256,0.7692307692307693,2.7976923076923077,1.213076923076923,5.384615384615385,19.583846153846153,8.491538461538461
AULS416381-Cascade Lemon L Bitter,AULS.SYD310,beverage,7,0.03730874216991364,0.03450554428596298,0.2,0.982,0.612,1.4000000000000001,6.874,4.284
AULS492451-V Sugarfree Tropical,AULS.SYD310,beverage,7,0.018189527601799708,0.01566164849145878,0.0,0.0,0.0,0.0,0.0,0.0
AULS489773-Oak Thick Vanilla Killa,AULS.SYD310,beverage,7,0.1137856004423693,0.06782554545902668,0.25,1.171,0.45100000000000007,1.75,8.197000000000001,3.1570000000000005
AULS481884-Coke No Sugar Slimline cans,AULS.SYD801,beverage,7,0.03351344763941495,0.020822176184777774,1.0,2.27,0.8600000000000001,7.0,15.89,6.0200000000000005
AULS485559-Amplify Raspberry Lime,AULS.SYD909,beverage,7,0.1851755505293077,0.14516293110247241,0.23529411764705882,1.2729411764705882,0.5976470588235294,1.6470588235294117,8.910588235294117,4.183529411764706
AULS498677-Amplify Apple Blackcurrant,AULS.SYD909,beverage,7,0.2222106606351692,0.17419551732296687,0.23809523809523808,1.2880952380952382,0.6047619047619047,1.6666666666666665,9.016666666666667,4.233333333333333
AULS460424-Glaceau Smartwater Pet 700ml,AULS.SYD912,beverage,7,0.08251173874309725,0.0894016026358089,0.25,1.3175,0.8474999999999999,1.75,9.2225,5.932499999999999
AULS399304-Lipton Ice Tea Peach 500ml,AULS.SYD912,beverage,7,0.5636475511862432,0.5731548172915182,2.1363636363636362,9.613636363636363,5.803636363636364,14.954545454545453,67.29545454545455,40.625454545454545
AULS485558-Amplify Ginger Lemon,AULS.SYD912,beverage,7,0.11293826858953984,0.0893136954552427,0.3684210526315789,1.9931578947368422,0.9357894736842106,2.5789473684210527,13.952105263157895,6.550526315789474
