item_name,store_name,category,OOS_days,date_list,OOS_lastDay,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin
AULS474956-Keri Apple Juice 300ml..,AULS.SYD208,beverage,3,"['2019-11-27', '2019-11-28', '2019-11-30']",1,1.2222222222222223,5.5855555555555565,3.638888888888889,3.666666666666667,16.756666666666668,10.916666666666666
AULS481884-Coke No Sugar Slimline cans,AULS.SYD208,beverage,1,['2019-11-24'],0,2.44,7.7664,4.322,2.44,7.7664,4.322
AULS495886-Mojo Crafted Bbrry Gnger 330ml,AULS.SYD208,beverage,1,['2019-11-30'],1,0.25925925925925924,1.4748148148148148,0.7488888888888889,0.25925925925925924,1.4748148148148148,0.7488888888888889
AULS495888-Mojo Crafted PssnFruit 330ml,AULS.SYD208,beverage,1,['2019-11-30'],1,0.4827586206896552,2.8586206896551727,1.5110344827586206,0.4827586206896552,2.8586206896551727,1.5110344827586206
AULS504595-V Energy Forbidden 500ml,AULS.SYD208,beverage,4,"['2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.045454545454545456,0.29772727272727273,0.16227272727272726,0.18181818181818182,1.190909090909091,0.649090909090909
AULS507152-Nutriboost Chocolate 340ml,AULS.SYD208,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,1.2105263157894737,4.404736842105263,1.9131578947368417,8.473684210526315,30.83315789473684,13.392105263157893
AULS507153-Nutriboost Vanilla 340ml,AULS.SYD208,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.5,1.8199999999999998,0.7899999999999998,3.5,12.739999999999998,5.5299999999999985
AULS399153-Red Bull Can 473ml,AULS.SYD215,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,1.6363636363636365,9.992727272727274,5.416363636363637,11.454545454545455,69.94909090909091,37.91454545454546
AULS430245-Barist. Bros  Ice Coffee 500ml,AULS.SYD215,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.7857142857142857,3.3942857142857146,1.8228571428571432,5.5,23.76,12.760000000000002
AULS435564-Mother S/free 500ml,AULS.SYD215,beverage,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.3125,1.661875,1.05125,2.1875,11.633125,7.358750000000001
