SKU,Store,category,OOS_days,date_list,OOS_lastDay,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin,Category
AULS429209-Without Fail,AULS.OOL101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS4743620414-(AM) G.C. INCONS,AULS.OOL104,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.10000000149011612,1.5549999475479126,1.0299999713897705,0.7000000104308128,10.884999632835388,7.2099997997283936,03-Books
AULS476828-Peppa Visits the Great Barrier,AULS.TSV101,,5,"[datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS489671SNOWXL-W ZIP HOODY HARVEST SNOW MARLE,AULS.OOL101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS505479-Good Habits Bad Habits,AULS.OOL101,,2,"[datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.03703703731298447,1.1107407808303833,0.5551851987838745,0.07407407462596893,2.2214815616607666,1.110370397567749,03-Books
AULS448863-LM5 Energetic Emu Little Mates,AULS.OOL101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.10000000149011612,0.4090000092983246,0.23899999260902405,0.7000000104308128,2.863000065088272,1.6729999482631683,03-Books
AULS466176019S-WOOL BAMBOO BLEND,AULS.OOL104,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS5052388-NRL Cowboys Fishing Shirt,AULS.TSV101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS448870-LM12 Laziest Lizard Little Mat,AULS.OOL101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.15000000596046448,0.5460000038146973,0.2904999852180481,1.0500000417232513,3.822000026702881,2.0334998965263367,03-Books
AULS436071-Three Wishes (new jacket),AULS.OOL101,,5,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28)]",0,0.0714285746216774,1.1035714149475098,0.5578571557998657,0.357142873108387,5.517857074737549,2.7892857789993286,03-Books
AULS452575-Weirdo:#6 Crazy Weird,AULS.OOL101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS497384-Easy Keto,AULS.OOL101,,6,"[datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.08695652335882187,1.9756520986557007,0.9878260493278503,0.5217391401529312,11.853912591934204,5.926956295967102,03-Books
AULS505617-Twas the Fart Before Christmas,AULS.OOL101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.29411765933036804,3.1435294151306152,1.4611765146255493,2.0588236153125763,22.004705905914307,10.228235602378845,03-Books
AULS381068-Cap Ladies Teal AUS,AULS.OOL101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.05000000074505806,1.1359999179840088,0.7384999990463257,0.3500000052154064,7.9519994258880615,5.16949999332428,03-Books
AULS493105-Bad Guys Episode 8: Superbad,AULS.OOL104,,4,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS496491-Grain Brain (Revised & Updated,AULS.TSV101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS502645-Spiderman: Ultimate Colouring,AULS.OOL101,,1,"[datetime.date(2019, 11, 27)]",0,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS505244-LP Best of Tokyo 2020,AULS.OOL101,,4,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27)]",0,0.1111111119389534,3.130000114440918,1.6155555248260498,0.4444444477558136,12.520000457763672,6.462222099304199,03-Books
AULS456837-Scarf Red Check,AULS.OOL104,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS505616-When Santa Got Stuck Up the Ch,AULS.OOL101,,3,"[datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.1428571492433548,1.9471428394317627,1.0385714769363403,0.4285714477300644,5.841428518295288,3.115714430809021,03-Books
AULS506456-My Story: Schapelle Corby,AULS.TSV101,,2,"[datetime.date(2019, 11, 25), datetime.date(2019, 11, 26)]",0,0.2222222238779068,6.0577778816223145,3.0285186767578125,0.4444444477558136,12.115555763244629,6.057037353515625,03-Books
