SKU,Store,category,OOS_days_x,date_list,OOS_lastDay_x,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin,Category_x,Category_y,State,City,BU,Concept,Brand,OOS_days_y,Date_list,OOS_lastDay_y,Avg Loss Sale qty,Avg Loss Net Sales,Avg Loss Margin,Total Loss Sale qty,Total Loss Net Sales,Total Loss Margin
AULS4833132-SUPERCARS T-Shirt Blue,AULS.TSV101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,09-Apparel,QLD,Townsville,BNC,Newslink,None,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS474464-Peppa Goes Swimming,AULS.OOL104,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0833333358168602,0.7566666603088379,0.4516666829586029,0.5833333507180214,5.296666622161865,3.1616667807102203,03-Books,03-Books,QLD,Gold Coast,Specialty,Discover,PENG-Pengiun Books,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.083333333,0.7566666670000001,0.45194166700000005,0.583333333,5.296666667,3.163591667
AULS500276-Everything Is F*cked,AULS.OOL114,,1,['2019-11-25'],0,0.1071428582072258,3.018214464187622,1.6339285373687744,0.1071428582072258,3.018214464187622,1.6339285373687744,03-Books,03-Books,QLD,Gold Coast,BNC,Relay,HARP-Harper Collins,1.0,['2019-11-25'],0.0,0.107142857,3.018214286,1.6338642859999999,0.107142857,3.018214286,1.6338642859999999
AULS469708420OS-GC2018-ToddlersBorobiBucketHat,AULS.TSV101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,09-Apparel,QLD,Townsville,BNC,Newslink,None,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS471574-Courage to be Disliked,AULS.OOL114,,4,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27']",0,0.05000000074505806,1.1359999179840088,0.6244999766349792,0.20000000298023224,4.543999671936035,2.497999906539917,03-Books,03-Books,QLD,Gold Coast,BNC,Relay,ALUN-ALUN,4.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27']",0.0,0.05,1.136,0.6245,0.2,4.544,2.498
AULS489671SNOWM-W ZIP HOODY HARVEST SNOW MARLE,AULS.OOL101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,09-Apparel,QLD,Gold Coast,BNC,Newslink,None,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS502017PRINT000-MG WREN ONESIE,AULS.OOL101,,6,"['2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,09-Apparel,QLD,Gold Coast,BNC,Newslink,None,6.0,"['2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS378564-13 Storey Treehouse,AULS.OOL101,,1,['2019-11-30'],1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,PANM-PANM,1.0,['2019-11-30'],1.0,0.0,0.0,0.0,0.0,0.0,0.0
AULS503588-Talking with Female Serial Kil,AULS.TSV101,,7,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.0714285746216774,1.3628571033477783,0.7135714292526245,0.5000000223517418,9.539999723434448,4.995000004768372,03-Books,03-Books,QLD,Townsville,BNC,Newslink,ALUN-ALUN,7.0,"['2019-11-24', '2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.071428571,1.362857143,0.713571429,0.5,9.54,4.995
AULS313411-One Flew Over the Cuckoos,AULS.OOL101,,6,"['2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1,0.043478261679410934,0.5134782791137695,0.20260868966579437,0.2608695700764656,3.080869674682617,1.2156521379947662,03-Books,03-Books,QLD,Gold Coast,BNC,Newslink,PENG-Pengiun Books,6.0,"['2019-11-25', '2019-11-26', '2019-11-27', '2019-11-28', '2019-11-29', '2019-11-30']",1.0,0.043478261,0.513478261,0.202565217,0.260869565,3.080869565,1.215391304
